soc_code,title,sector,la_employment,la_median_wage,exposure_prior,confidence,megaproject_adjacent,depth_authored,rationale
51-4121,"Welders, Cutters, Solderers, and Brazers",manufacturing,12500,52400,0.32,medium,true,true,"Hyundai Steel + SSE humanoid pilot"
51-8091,Chemical Plant and System Operators,energy-petrochemicals,7300,78900,0.28,medium,true,true,"LNG/petrochem corridor"
51-8013,Power Plant Operators,energy-petrochemicals,1900,92400,0.34,medium,false,true,"Entergy + LNG interconnects"
15-1252,Software Developers,technology,8200,93100,0.82,high,true,true,"AWS/Meta hiring"
15-1299,"Computer Occupations, All Other",technology,3200,78600,0.74,medium,true,true,"Data-center ops"
17-2199.01,Robotics Engineers,manufacturing,1200,104500,0.68,medium,true,true,"SSE Persona AI pilot"
17-2141,Mechanical Engineers,manufacturing,3900,99200,0.52,medium,true,false,"LNG/petrochem engineering"
17-2112,Industrial Engineers,manufacturing,3100,97600,0.58,medium,true,false,"Process optimization"
29-1141,Registered Nurses,healthcare,42000,76300,0.44,high,false,true,"LA's largest regulated profession"
29-1171,Nurse Practitioners,healthcare,2300,118400,0.42,medium,false,true,"Fastest-growing HC role"
29-2061,Licensed Practical/Vocational Nurses,healthcare,16000,50100,0.38,medium,false,true,"Rural LA backbone"
31-1131,Nursing Assistants,healthcare,19000,29800,0.46,medium,false,true,"Documentation+monitoring"
43-4051,Customer Service Representatives,retail-hospitality,25000,37200,0.86,high,false,true,"Highest-exposure services"
13-2011,Accountants and Auditors,finance-insurance,13000,71400,0.84,high,false,true,"Top-5 most-automated"
13-1111,Management Analysts,finance-insurance,4200,85200,0.76,high,false,true,"Consulting augmentation"
43-6011,Executive Secretaries and Administrative Assistants,public-administration,5500,58300,0.82,high,false,true,"Scheduling+drafting"
11-9021,Construction Managers,construction,3600,96100,0.48,medium,true,true,"Megaproject sequencing"
47-2111,Electricians,construction,14500,58400,0.22,medium,true,true,"Megaproject builds"
47-2211,Sheet Metal Workers,construction,2800,53900,0.18,medium,true,true,"HVAC for data centers"
53-7051,Industrial Truck and Tractor Operators,logistics-ports,6800,41200,0.38,medium,false,true,"Port operators"
53-3032,Heavy and Tractor-Trailer Truck Drivers,logistics-ports,31000,48600,0.34,medium,false,true,"Long-haul autonomy threat"
43-5061,"Production, Planning, and Expediting Clerks",logistics-ports,5700,52700,0.64,medium,false,true,"Logistics coordination"
25-2021,"Elementary School Teachers, except Special Education",education,17500,54300,0.42,medium,false,true,"K-12 AI policy"
25-2031,"Secondary School Teachers, except Special Education",education,17000,56400,0.48,medium,false,true,"CS/STEM curriculum"
25-1011,"Business Teachers, Postsecondary",education,900,90400,0.72,medium,false,true,"LSU/ULL business faculty"
11-1021,General and Operations Managers,public-administration,22000,108900,0.58,medium,false,true,"Decision-making leverage"
49-9071,"Maintenance and Repair Workers, General",technology,22000,44800,0.28,medium,true,true,"Data-center uptime"
51-2098,Miscellaneous Assemblers and Fabricators,manufacturing,4300,42400,0.42,medium,false,true,"Industrial corridor"
13-2051,Financial and Investment Analysts,finance-insurance,2100,78900,0.74,medium,false,false,"Banking AI adoption"
13-2072,Loan Officers,finance-insurance,3200,71200,0.68,medium,false,false,"Credit underwriting AI"
33-3051,Police and Sheriff's Patrol Officers,public-administration,8900,51200,0.24,medium,false,false,"Public safety"
33-2011,Firefighters,public-administration,4100,46800,0.18,low,false,false,"Emergency response"
29-1069,"Physicians, All Other",healthcare,5400,224100,0.56,high,false,false,"Diagnostic AI"
29-1051,Pharmacists,healthcare,3200,135600,0.48,medium,false,false,"Drug-interaction AI"
29-2034,Radiologic Technologists,healthcare,1800,62400,0.54,medium,false,false,"Image interpretation AI"
29-2052,Pharmacy Technicians,healthcare,3400,36200,0.52,medium,false,false,"Pharmacy automation"
41-1011,"First-Line Supervisors of Retail Sales Workers",retail-hospitality,9200,43100,0.44,medium,false,false,"Retail workflow"
